题型,试题内容,选项A,选项B,选项C,选项D,选项E,答案
单选题,（   ）通过了关于《中国共产党章程（修正案）》的决议，把习近平新时代中国特色社会主义思想写入党章，实现了党的指导思想的与时俱进。,党的十七大,党的十八大,党的十九大,党的二十大,,C
单选题,（   ）是改革开放以来我们党全部理论和实践的鲜明主题。,贯彻新发展理念,坚持和发展中国特色社会主义,改革开放,以经济建设为中心,,B
单选题,（   ）是习近平新时代中国特色社会主义思想的主体内容，集中体现了这一思想体系的主要观点和基本精神。,“六个必须坚持”,“十个明确”,“十四个坚持”,“十三个方面成就”,,B
单选题,（   ）是习近平新时代中国特色社会主义思想的重要组成部分，构成了新时代坚持和发展中国特色社会主义的基本方略。,“六个必须坚持”,“十个明确”,“十四个坚持”,“十三个方面成就”,,C
单选题,党的二十大提出的“六个必须坚持”中，坚持人民至上是（   ）。,根本价值立场,内在精神特质,鲜明理论品格,重要实践要求,,A
单选题,党的二十大提出的“六个必须坚持”中，坚持自信自立是（   ）。,根本价值立场,内在精神特质,鲜明理论品格,重要实践要求,,B
单选题,党的二十大提出了“六个必须坚持”。其中，坚持守正创新是（   ）。,根本价值立场,内在精神特质,鲜明理论品格,重要实践要求,,C
单选题,党的二十大提出了“六个必须坚持”。其中，坚持问题导向是（   ）。,基本思想和工作方法,内在精神特质,鲜明理论品格,重要实践要求,,D
单选题,党的二十大提出了“六个必须坚持”。其中，坚持系统观念是（   ）。,基本思想和工作方法,内在精神特质,鲜明理论品格,重要实践要求,,A
单选题,党的二十大提出了“六个必须坚持”。其中，坚持（   ）是中国共产党人的境界格局,守正创新,自信自立,系统观念,胸怀天下,,D
单选题,中国特色社会主义的战略布局是（   ）。,“十个明确”,“十四个坚持”,“四个全面”,“五位一体”,,C
单选题,中国特色社会主义的总体布局是（   ）。,“三位一体”,“四位一体”,“五位一体”,“六位一体”,,C
单选题,（   ）是又一次的思想解放，让我们能够在更广阔的文化空间中，充分运用中华优秀传统文化的宝贵资源，探索面向未来的理论和制度创新。,第一个结合,第二个结合,第一次结合,第二次结合,,B
单选题,（   ）是马克思主义理论区别于其他理论的显著特征。,实践性,辩证性,真理性,历史性,,A
单选题,（   ）是我们党在探索中国特色社会主义道路中得出的规律性认识，是我们取得成功的最大法宝。,两个结合,两次结合,理论创新,实践创新,,A
多选题,习近平新时代中国特色社会主义思想创立的时代背景是（   ）。,世界百年未有之大变局加速演进,中华民族伟大复兴进入关键时期,我国经济高速度发展,中国成为世界领导角色,,AB
多选题,新时代中国正处于中华民族伟大复兴的关键时期，因为（   ）。,我国发展站在了新的历史起点上,改革面临着许多前所未有的困难和挑战，处于攻坚克难的关键时期,新时代的中国发生新的历史性变革,中国式现代化全面推进拓展,,ABCD
多选题,习近平（   ）为习近平新时代中国特色社会主义思想的创立发挥了决定性作用。,坚定的政治信仰和朴素的人民情怀，为这一思想注入了强大精神基因,丰富的文化积淀和良好的哲学素养，为这一思想奠定了深厚的理论底蕴,艰苦磨练和扎实的从政历练，为这一思想积累了充分的实践养分,非凡的政治胆略和高超的政治智慧，为这一思想开辟了宽阔视野,,ABCD
多选题,习近平新时代中国特色社会主义思想回答了（   ）等重大时代课题。,新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义,建设什么样的社会主义现代化强国、怎样建设社会主义现代化强国,建设什么样的长期执政的马克思主义政党、怎样建设长期执政的马克思主义政党,建设什么美好的世界、怎样建设美好世界,,ABC
多选题,习近平新时代中国特色社会主义思想的主要内容包括（   ）。,“六个必须坚持”,“十个明确”,“十四个坚持”,“十三个方面成就”,,BCD
多选题,习近平新时代中国特色社会主义思想是当代中国马克思主义、二十一世纪马克思主义，是（   ）的时代精华，实现了马克思主义中国化时代化新的飞跃。,中华文化,中华品格,中国精神,中国力量,,AC
多选题,习近平新时代中国特色社会主义思想以（   ），标注了中国共产党理论创新的新高度，实现了马克思主义中国化时代化新的飞跃。,原创性的理论贡献,严密性的科学体系,标志性的思想观点,集成性的观点汇总,,ABC
单选题,（   ）是中国共产党人思考的基本问题。,什么是社会主义、怎样建设社会主义,坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义,建设什么样的社会主义现代化强国、怎样建设社会主义现代化强国,建设什么样的长期执政的马克思主义政党、怎样建设长期执政的马克思主义政党,,A
单选题,中国特色社会主义是（   ）的辩证统一。,科学社会主义历史逻辑和中国社会发展实践逻辑,科学社会主义理论逻辑和中国社会发展历史逻辑,科学社会主义实践逻辑和中国社会发展理论逻辑,科学社会主义实践逻辑和中国社会发展历史逻辑,,B
单选题,习近平指出：“《共产党宣言》虽然诞生于170年前，但其阐述的基本原理没有过时，也不会过时。”这一论述中的基本原理指的是（   ）。,历史唯物主义,辩证唯物主义,科学社会主义基本原则,剩余价值理论,,C
